captured_at	kick_off	min_to_ko	type	match	bet	odds	confidence	change	opening	reason
14:21:08	14:30	9	STEAM	GVVV vs HFC	1 (GVVV)	1.80	80%	-5.8%	1.91	Steam move: odds dropped -5.8% | Sustained odds drop: 1.91 → 1.80 (-5.8%) | Other outcomes rising while this drops — market consensus | Only 9 min to kick-off — late data is more reliable | 51 snapshots — robust data
14:21:08	14:30	9	STEAM	Excelsior Maassluis vs Spakenburg	2 (Spakenburg)	1.95	80%	-5.8%	2.07	Steam move: odds dropped -5.8% | Sustained odds drop: 2.07 → 1.95 (-5.8%) | Other outcomes rising while this drops — market consensus | Only 9 min to kick-off — late data is more reliable | 51 snapshots — robust data
14:21:08	14:30	9	STEAM	Rukh Lviv (Ukr) vs Rudes (Cro)	1 (Rukh Lviv (Ukr))	2.26	80%	-21.5%	2.88	Steam move: odds dropped -21.5% | Sustained odds drop: 2.88 → 2.26 (-21.5%) | Strong drop >8% | Only 9 min to kick-off — late data is more reliable | 51 snapshots — robust data
14:21:08	14:30	9	LATE_SHARP	Avellino U19 vs Pescara U19	1 (Avellino U19)	2.44	50%	-2.4%	2.50	Late sharp move detected on 1 | Only 9 min to kick-off — late data is more reliable | 51 snapshots — robust data
14:21:08	14:30	9	MIXED	Khroub vs Beni Oulbane	1 (Khroub)	1.70	30%	-2.3%	1.74	Other outcomes rising while this drops — market consensus | Only 9 min to kick-off — late data is more reliable | 51 snapshots — robust data
14:21:08	14:30	9	MIXED	ASM Oran vs Bechar Djedid	1 (ASM Oran)	1.38	30%	-2.8%	1.42	Other outcomes rising while this drops — market consensus | Only 9 min to kick-off — late data is more reliable | 51 snapshots — robust data
14:21:08	14:30	9	MIXED	Cittadella U19 vs Reggiana U19	1 (Cittadella U19)	1.63	30%	-3.0%	1.68	Other outcomes rising while this drops — market consensus | Only 9 min to kick-off — late data is more reliable | 38 snapshots — robust data
14:31:34	14:40	8	STEAM	Al Jahra vs Al Salmiya	2 (Al Salmiya)	1.46	80%	-7.0%	1.57	Steam move: odds dropped -7.0% | Sustained odds drop: 1.57 → 1.46 (-7.0%) | Other outcomes rising while this drops — market consensus | Only 8 min to kick-off — late data is more reliable | 54 snapshots — robust data
14:38:36	14:45	6	STEAM	Al Riffa vs Al-Hidd	1 (Al Riffa)	1.33	80%	-7.6%	1.44	Steam move: odds dropped -7.6% | Sustained odds drop: 1.44 → 1.33 (-7.6%) | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 56 snapshots — robust data
14:51:35	15:00	8	LATE_SHARP	Quick Boys vs De Treffers	2 (De Treffers)	3.07	95%	-12.5%	3.51	Late sharp move detected on 2 | Steam move: odds dropped -12.5% | Sustained odds drop: 3.51 → 3.07 (-12.5%) | Strong drop >8% | Only 8 min to kick-off — late data is more reliable | 60 snapshots — robust data
14:51:35	15:00	8	STEAM	Jablonec vs Slovacko	2 (Slovacko)	4.57	80%	-14.3%	5.33	Steam move: odds dropped -14.3% | Sustained odds drop: 5.33 → 4.57 (-14.3%) | Strong drop >8% | Only 8 min to kick-off — late data is more reliable | 60 snapshots — robust data
14:51:35	15:00	8	STEAM	Teplice vs Karvina	1 (Teplice)	2.73	80%	-10.8%	3.06	Steam move: odds dropped -10.8% | Sustained odds drop: 3.06 → 2.73 (-10.8%) | Strong drop >8% | Only 8 min to kick-off — late data is more reliable | 60 snapshots — robust data
14:51:35	15:00	8	STEAM	Catanzaro vs Reggiana	1 (Catanzaro)	1.68	80%	-6.2%	1.79	Steam move: odds dropped -6.2% | Sustained odds drop: 1.79 → 1.68 (-6.2%) | Other outcomes rising while this drops — market consensus | Only 8 min to kick-off — late data is more reliable | 60 snapshots — robust data
14:51:35	15:00	8	STEAM	Al Sahel vs Nejmeh SC	2 (Nejmeh SC)	1.46	80%	-7.0%	1.57	Steam move: odds dropped -7.0% | Sustained odds drop: 1.57 → 1.46 (-7.0%) | Other outcomes rising while this drops — market consensus | Only 8 min to kick-off — late data is more reliable | 60 snapshots — robust data
14:51:35	15:00	8	STEAM	IJsselmeervogels vs Rijnsburgse Boys	2 (Rijnsburgse Boys)	1.59	80%	-5.4%	1.68	Steam move: odds dropped -5.4% | Sustained odds drop: 1.68 → 1.59 (-5.4%) | Other outcomes rising while this drops — market consensus | Only 8 min to kick-off — late data is more reliable | 60 snapshots — robust data
14:51:35	15:00	8	STEAM	Mouloudia Oujda vs Amal Tiznit	2 (Amal Tiznit)	3.88	65%	-5.8%	4.12	Steam move: odds dropped -5.8% | Sustained odds drop: 4.12 → 3.88 (-5.8%) | Only 8 min to kick-off — late data is more reliable | 60 snapshots — robust data
14:51:35	15:00	8	LATE_SHARP	Nottingham U21 vs West Brom U21	2 (West Brom U21)	5.53	50%	-4.7%	5.80	Late sharp move detected on 2 | Only 8 min to kick-off — late data is more reliable | 60 snapshots — robust data
14:51:35	15:00	8	MIXED	Ostrava vs Sigma Olomouc	1 (Ostrava)	2.50	30%	-2.7%	2.57	Other outcomes rising while this drops — market consensus | Only 8 min to kick-off — late data is more reliable | 60 snapshots — robust data
14:51:35	15:00	8	MIXED	Libertas vs Murata	1 (Libertas)	1.93	30%	-4.0%	2.01	Other outcomes rising while this drops — market consensus | Only 8 min to kick-off — late data is more reliable | 60 snapshots — robust data
14:51:35	15:00	8	MIXED	Pennarossa vs Tre Penne	X (Draw)	5.57	30%	-2.5%	5.71	Other outcomes rising while this drops — market consensus | Only 8 min to kick-off — late data is more reliable | 60 snapshots — robust data
14:51:35	15:00	8	MIXED	Pari NN (Rus) vs Yenisey (Rus)	1 (Pari NN (Rus))	1.40	30%	-4.1%	1.46	Other outcomes rising while this drops — market consensus | Only 8 min to kick-off — late data is more reliable | 60 snapshots — robust data
15:22:17	15:30	8	STEAM	Al Khaboora vs Dhofar	X (Draw)	2.44	95%	-10.3%	2.72	Steam move: odds dropped -10.3% | Sustained odds drop: 2.72 → 2.44 (-10.3%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 8 min to kick-off — late data is more reliable | 68 snapshots — robust data
15:22:17	15:30	8	STEAM	Freiburg vs Werder Bremen	X (Draw)	3.35	65%	-6.2%	3.57	Steam move: odds dropped -6.2% | Sustained odds drop: 3.57 → 3.35 (-6.2%) | Only 8 min to kick-off — late data is more reliable | 68 snapshots — robust data
15:22:17	15:30	8	STEAM	Bala vs Cardiff Metropolitan	1 (Bala)	3.25	65%	-7.1%	3.50	Steam move: odds dropped -7.1% | Sustained odds drop: 3.50 → 3.25 (-7.1%) | Only 8 min to kick-off — late data is more reliable | 68 snapshots — robust data
15:22:17	15:30	8	MIXED	Mainz vs Augsburg	1 (Mainz)	1.96	30%	-3.5%	2.03	Other outcomes rising while this drops — market consensus | Only 8 min to kick-off — late data is more reliable | 68 snapshots — robust data
15:22:17	15:30	8	MIXED	Wolfsburg vs Dortmund	2 (Dortmund)	1.69	30%	-2.3%	1.73	Other outcomes rising while this drops — market consensus | Only 8 min to kick-off — late data is more reliable | 68 snapshots — robust data
15:22:17	15:30	8	MIXED	St. Pauli vs Stuttgart	2 (Stuttgart)	1.72	30%	-2.8%	1.77	Other outcomes rising while this drops — market consensus | Only 8 min to kick-off — late data is more reliable | 68 snapshots — robust data
15:37:20	15:45	8	STEAM	Zarautz KE vs Portugalete	X (Draw)	4.27	80%	-9.7%	4.73	Steam move: odds dropped -9.7% | Sustained odds drop: 4.73 → 4.27 (-9.7%) | Strong drop >8% | Only 8 min to kick-off — late data is more reliable | 73 snapshots — robust data
15:53:38	16:00	6	STEAM	Aveley vs Dulwich Hamlet	X (Draw)	3.35	95%	-9.5%	3.70	Steam move: odds dropped -9.5% | Sustained odds drop: 3.70 → 3.35 (-9.5%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 6 min to kick-off — late data is more reliable | 76 snapshots — robust data
15:53:38	16:00	6	STEAM	Scunthorpe vs Southend	1 (Scunthorpe)	2.00	95%	-20.3%	2.51	Steam move: odds dropped -20.3% | Sustained odds drop: 2.51 → 2.00 (-20.3%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 6 min to kick-off — late data is more reliable | 76 snapshots — robust data
