captured_at	kick_off	min_to_ko	match	bet	odds	opening	drop_pct	snapshots	confidence	score	market_consensus	type	reason
00:17:39	LIVE 55''	LIVE	Vilavelhense vs Serra	1 (Vilavelhense)	1.66	1.38	+12.0%	T3	65%	62.2	1:0	LIVE_VALUE	Edge: +12.0% | Model: 73% vs market: 60% | Fair: 1.38 vs offered: 1.66 | Home leading 1:0 | Mid-game (55') | T3
00:17:39	LIVE 17''	LIVE	Avenida vs Guarany de Bage	1 (Avenida)	1.55	1.28	+12.0%	T3	60%	56.0	1:0	LIVE_VALUE	Edge: +12.0% | Model: 78% vs market: 65% | Fair: 1.28 vs offered: 1.55 | Home leading 1:0 | Early (17') | T3
00:17:40	LIVE 55''	LIVE	Vilavelhense vs Serra	1 (Vilavelhense)	1.66	1.38	+12.0%	T3	65%	62.2	1:0	LIVE_VALUE	Edge: +12.0% | Model: 73% vs market: 60% | Fair: 1.38 vs offered: 1.66 | Home leading 1:0 | Mid-game (55') | T3
00:17:40	LIVE 17''	LIVE	Avenida vs Guarany de Bage	1 (Avenida)	1.55	1.28	+12.0%	T3	60%	56.0	1:0	LIVE_VALUE	Edge: +12.0% | Model: 78% vs market: 65% | Fair: 1.28 vs offered: 1.55 | Home leading 1:0 | Early (17') | T3
00:21:05	LIVE 21''	LIVE	Avenida vs Guarany de Bage	1 (Avenida)	1.44	1.27	+12.0%	T3	75%	64.8	1:0	LIVE_VALUE	Edge: +12.0% | Model: 79% vs market: 69% | Fair: 1.27 vs offered: 1.44 | Home leading 1:0 | Early (21') | T3
00:21:05	LIVE 48''	LIVE	Lanus vs Talleres Cordoba	1 (Lanus)	2.61	2.23	+12.0%	T3	75%	64.8	0:0	LIVE_VALUE	Edge: +12.0% | Model: 45% vs market: 38% | Fair: 2.23 vs offered: 2.61 | Home value in draw | Mid-game (48') | T3
00:21:05	LIVE 58''	LIVE	Vilavelhense vs Serra	1 (Vilavelhense)	1.58	1.35	+12.0%	T3	65%	62.2	1:0	LIVE_VALUE	Edge: +12.0% | Model: 74% vs market: 63% | Fair: 1.35 vs offered: 1.58 | Home leading 1:0 | Mid-game (58') | T3
00:25:33	LIVE 52''	LIVE	Lanus vs Talleres Cordoba	1 (Lanus)	2.69	2.35	+12.0%	T3	75%	64.8	0:0	LIVE_VALUE	Edge: +12.0% | Model: 43% vs market: 37% | Fair: 2.35 vs offered: 2.69 | Home value in draw | Mid-game (52') | T3
00:25:33	LIVE 62''	LIVE	Vilavelhense vs Serra	1 (Vilavelhense)	1.54	1.31	+12.0%	T3	65%	62.2	1:0	LIVE_VALUE	Edge: +12.0% | Model: 76% vs market: 65% | Fair: 1.31 vs offered: 1.54 | Home leading 1:0 | Second half (62') | T3
00:25:33	LIVE 25''	LIVE	Avenida vs Guarany de Bage	1 (Avenida)	1.46	1.27	+12.0%	T3	65%	62.2	1:0	LIVE_VALUE	Edge: +12.0% | Model: 79% vs market: 68% | Fair: 1.27 vs offered: 1.46 | Home leading 1:0 | Early (25') | T3
