kick_off	min_to_ko	type	match	bet	odds	confidence	change	opening	edge	fair_odds	kelly	reason
20:45	471	SUSTAINED_DROP	Chester vs Alfreton	X (Draw)	3.30	25%	-5.7%	3.50				Sustained odds drop: 3.50 → 3.30 (-5.7%) | 1273 snapshots — robust data
20:45	471	SUSTAINED_DROP	Royston vs Bury Town	X (Draw)	3.31	25%	-6.5%	3.54				Sustained odds drop: 3.54 → 3.31 (-6.5%) | 1171 snapshots — robust data
20:45	471	SUSTAINED_DROP	St Johnstone vs Ayr	X (Draw)	3.61	25%	-7.2%	3.89				Sustained odds drop: 3.89 → 3.61 (-7.2%) | 1268 snapshots — robust data
21:00	486	STEAM	Motherwell vs Rangers	2 (Rangers)	2.07	85%	-10.0%	2.30				Steam move: odds dropped -10.0% | Sustained odds drop: 2.30 → 2.07 (-10.0%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 321 snapshots — robust data
21:00	486	STEAM	Union de Santa Fe 2 vs Aldosivi 2	2 (Aldosivi 2)	3.72	70%	-10.4%	4.15				Steam move: odds dropped -10.4% | Sustained odds drop: 4.15 → 3.72 (-10.4%) | Strong drop >8% | 1058 snapshots — robust data
21:00	486	STEAM	Napoli vs Como	2 (Como)	2.75	70%	-13.2%	3.17				Steam move: odds dropped -13.2% | Sustained odds drop: 3.17 → 2.75 (-13.2%) | Strong drop >8% | 1132 snapshots — robust data
21:00	486	STEAM	Nijmegen vs Utrecht	1 (Nijmegen)	1.72	70%	-7.0%	1.85				Steam move: odds dropped -7.0% | Sustained odds drop: 1.85 → 1.72 (-7.0%) | Other outcomes rising while this drops — market consensus | 321 snapshots — robust data
21:00	486	STEAM	Union de Santa Fe 2 vs Aldosivi 2	2 (Aldosivi 2)	3.72	70%	-10.4%	4.15				Steam move: odds dropped -10.4% | Sustained odds drop: 4.15 → 3.72 (-10.4%) | Strong drop >8% | 1058 snapshots — robust data
21:00	486	STEAM	Napoli vs Como	2 (Como)	2.75	70%	-13.2%	3.17				Steam move: odds dropped -13.2% | Sustained odds drop: 3.17 → 2.75 (-13.2%) | Strong drop >8% | 1132 snapshots — robust data
21:00	486	STEAM	Portuguesa RJ vs Nova Iguacu	X (Draw)	2.74	55%	-5.5%	2.90				Steam move: odds dropped -5.5% | Sustained odds drop: 2.90 → 2.74 (-5.5%) | 470 snapshots — robust data
21:00	486	STEAM	Swindon vs Newport	2 (Newport)	5.49	55%	-7.6%	5.94				Steam move: odds dropped -7.6% | Sustained odds drop: 5.94 → 5.49 (-7.6%) | 321 snapshots — robust data
21:00	486	SUSTAINED_DROP	Portuguesa RJ vs Nova Iguacu	1 (Portuguesa RJ)	2.60	40%	-9.1%	2.86				Sustained odds drop: 2.86 → 2.60 (-9.1%) | Strong drop >8% | 470 snapshots — robust data
21:15	501	STEAM	Murata vs Juvenes/Dogana	2 (Juvenes/Dogana)	1.43	85%	-10.6%	1.60				Steam move: odds dropped -10.6% | Sustained odds drop: 1.60 → 1.43 (-10.6%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1132 snapshots — robust data
21:15	501	STEAM	Murata vs Juvenes/Dogana	2 (Juvenes/Dogana)	1.43	85%	-10.6%	1.60				Steam move: odds dropped -10.6% | Sustained odds drop: 1.60 → 1.43 (-10.6%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1132 snapshots — robust data
21:15	501	STEAM	Faetano vs Cosmos	X (Draw)	3.42	70%	-11.2%	3.85				Steam move: odds dropped -11.2% | Sustained odds drop: 3.85 → 3.42 (-11.2%) | Strong drop >8% | 1132 snapshots — robust data
21:15	501	STEAM	Faetano vs Cosmos	X (Draw)	3.42	70%	-11.2%	3.85				Steam move: odds dropped -11.2% | Sustained odds drop: 3.85 → 3.42 (-11.2%) | Strong drop >8% | 1132 snapshots — robust data
21:15	501	STEAM	Sunderland vs Liverpool	1 (Sunderland)	4.72	55%	-7.8%	5.12				Steam move: odds dropped -7.8% | Sustained odds drop: 5.12 → 4.72 (-7.8%) | 321 snapshots — robust data
21:15	501	SUSTAINED_DROP	Faetano vs Cosmos	1 (Faetano)	5.05	40%	-9.8%	5.60				Sustained odds drop: 5.60 → 5.05 (-9.8%) | Strong drop >8% | 1132 snapshots — robust data
21:15	501	SUSTAINED_DROP	Faetano vs Cosmos	1 (Faetano)	5.05	40%	-9.8%	5.60				Sustained odds drop: 5.60 → 5.05 (-9.8%) | Strong drop >8% | 1132 snapshots — robust data
22:00	546	STEAM	Venezuela U20 W vs Paraguay U20 W	X (Draw)	3.32	55%	-5.7%	3.52				Steam move: odds dropped -5.7% | Sustained odds drop: 3.52 → 3.32 (-5.7%) | 1036 snapshots — robust data
22:00	546	STEAM	Venezuela U20 W vs Paraguay U20 W	X (Draw)	3.32	55%	-5.7%	3.52				Steam move: odds dropped -5.7% | Sustained odds drop: 3.52 → 3.32 (-5.7%) | 1036 snapshots — robust data
22:00	546	SUSTAINED_DROP	Venezuela U20 W vs Paraguay U20 W	1 (Venezuela U20 W)	3.64	40%	-20.7%	4.59				Sustained odds drop: 4.59 → 3.64 (-20.7%) | Strong drop >8% | 1036 snapshots — robust data
22:00	546	SUSTAINED_DROP	Venezuela U20 W vs Paraguay U20 W	1 (Venezuela U20 W)	3.64	40%	-20.7%	4.59				Sustained odds drop: 4.59 → 3.64 (-20.7%) | Strong drop >8% | 1036 snapshots — robust data
22:45	591	STEAM	Puebla W vs Atlas W	X (Draw)	3.64	70%	-8.3%	3.97				Steam move: odds dropped -8.3% | Sustained odds drop: 3.97 → 3.64 (-8.3%) | Strong drop >8% | 1132 snapshots — robust data
22:45	591	STEAM	Puebla W vs Atlas W	X (Draw)	3.64	70%	-8.3%	3.97				Steam move: odds dropped -8.3% | Sustained odds drop: 3.97 → 3.64 (-8.3%) | Strong drop >8% | 1132 snapshots — robust data
22:45	591	SUSTAINED_DROP	Puebla W vs Atlas W	1 (Puebla W)	4.19	40%	-13.2%	4.83				Sustained odds drop: 4.83 → 4.19 (-13.2%) | Strong drop >8% | 1132 snapshots — robust data
22:45	591	SUSTAINED_DROP	Puebla W vs Atlas W	1 (Puebla W)	4.19	40%	-13.2%	4.83				Sustained odds drop: 4.83 → 4.19 (-13.2%) | Strong drop >8% | 1132 snapshots — robust data
23:00	606	STEAM	Santa Cruz vs Nautico	2 (Nautico)	1.88	85%	-13.0%	2.16				Steam move: odds dropped -13.0% | Sustained odds drop: 2.16 → 1.88 (-13.0%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 318 snapshots — robust data
23:00	606	STEAM	Vasco da Gama AC vs Independencia	2 (Independencia)	3.05	70%	-23.2%	3.97				Steam move: odds dropped -23.2% | Sustained odds drop: 3.97 → 3.05 (-23.2%) | Strong drop >8% | 1131 snapshots — robust data
23:00	606	STEAM	Vasco da Gama AC vs Independencia	2 (Independencia)	3.05	70%	-23.2%	3.97				Steam move: odds dropped -23.2% | Sustained odds drop: 3.97 → 3.05 (-23.2%) | Strong drop >8% | 1131 snapshots — robust data
23:15	621	STEAM	Jacuipense vs Alagoinhas	X (Draw)	2.85	85%	-8.9%	3.13				Steam move: odds dropped -8.9% | Sustained odds drop: 3.13 → 2.85 (-8.9%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1042 snapshots — robust data
23:15	621	STEAM	Jacuipense vs Alagoinhas	X (Draw)	2.85	85%	-8.9%	3.13				Steam move: odds dropped -8.9% | Sustained odds drop: 3.13 → 2.85 (-8.9%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1042 snapshots — robust data
23:30	636	LATE_SHARP	Votuporanguense vs Taubate	1 (Votuporanguense)	2.01	95%	-9.5%	2.22				Late sharp move detected on 1 | Steam move: odds dropped -9.5% | Sustained odds drop: 2.22 → 2.01 (-9.5%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 28 snapshots — robust data
23:30	636	STEAM	Moto Club vs IAPE	2 (IAPE)	4.50	70%	-9.3%	4.96				Steam move: odds dropped -9.3% | Sustained odds drop: 4.96 → 4.50 (-9.3%) | Strong drop >8% | 173 snapshots — robust data
23:30	636	STEAM	Maranhao vs Sampaio Correa	2 (Sampaio Correa)	3.10	70%	-6.6%	3.32				Steam move: odds dropped -6.6% | Sustained odds drop: 3.32 → 3.10 (-6.6%) | Other outcomes rising while this drops — market consensus | 173 snapshots — robust data
