kick_off	min_to_ko	type	match	bet	odds	confidence	change	opening	edge	fair_odds	kelly	reason
14:15	81	STEAM	Pamba vs Namungo	2 (Namungo)	3.60	70%	-16.7%	4.32				Steam move: odds dropped -16.7% | Sustained odds drop: 4.32 → 3.60 (-16.7%) | Strong drop >8% | 1241 snapshots — robust data
14:15	81	SUSTAINED_DROP	Pamba vs Namungo	X (Draw)	2.65	25%	-5.0%	2.79				Sustained odds drop: 2.79 → 2.65 (-5.0%) | 1241 snapshots — robust data
14:15	81	SUSTAINED_DROP	Pamba vs Namungo	X (Draw)	2.65	25%	-5.0%	2.79				Sustained odds drop: 2.79 → 2.65 (-5.0%) | 1241 snapshots — robust data
14:45	111	STEAM	Arkadag vs Al Nassr	X (Draw)	4.81	70%	-48.0%	9.25				Steam move: odds dropped -48.0% | Sustained odds drop: 9.25 → 4.81 (-48.0%) | Strong drop >8% | 284 snapshots — robust data
14:45	111	SUSTAINED_DROP	Arkadag vs Al Nassr	1 (Arkadag)	6.83	40%	-30.1%	9.77				Sustained odds drop: 9.77 → 6.83 (-30.1%) | Strong drop >8% | 284 snapshots — robust data
15:00	126	STEAM	Hamrun vs Hibernians	1 (Hamrun)	1.37	85%	-18.9%	1.69				Steam move: odds dropped -18.9% | Sustained odds drop: 1.69 → 1.37 (-18.9%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1241 snapshots — robust data
15:00	126	STEAM	Hamrun vs Hibernians	1 (Hamrun)	1.37	85%	-18.9%	1.69				Steam move: odds dropped -18.9% | Sustained odds drop: 1.69 → 1.37 (-18.9%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1241 snapshots — robust data
15:00	126	STEAM	Sheffield Utd U21 vs Peterborough U21	2 (Peterborough U21)	3.72	70%	-20.0%	4.65				Steam move: odds dropped -20.0% | Sustained odds drop: 4.65 → 3.72 (-20.0%) | Strong drop >8% | 1255 snapshots — robust data
15:00	126	STEAM	LNZ Cherkasy (Ukr) vs Shakhtar Donetsk (Ukr)	1 (LNZ Cherkasy (Ukr))	5.32	70%	-11.3%	6.00				Steam move: odds dropped -11.3% | Sustained odds drop: 6.00 → 5.32 (-11.3%) | Strong drop >8% | 582 snapshots — robust data
15:00	126	STEAM	Sheffield Utd U21 vs Peterborough U21	2 (Peterborough U21)	3.72	70%	-20.0%	4.65				Steam move: odds dropped -20.0% | Sustained odds drop: 4.65 → 3.72 (-20.0%) | Strong drop >8% | 1255 snapshots — robust data
15:00	126	STEAM	LNZ Cherkasy (Ukr) vs Shakhtar Donetsk (Ukr)	1 (LNZ Cherkasy (Ukr))	5.32	70%	-11.3%	6.00				Steam move: odds dropped -11.3% | Sustained odds drop: 6.00 → 5.32 (-11.3%) | Strong drop >8% | 582 snapshots — robust data
15:00	126	SUSTAINED_DROP	Sheffield Utd U21 vs Peterborough U21	X (Draw)	4.34	40%	-9.2%	4.78				Sustained odds drop: 4.78 → 4.34 (-9.2%) | Strong drop >8% | 1255 snapshots — robust data
15:00	126	SUSTAINED_DROP	Sheffield Utd U21 vs Peterborough U21	X (Draw)	4.34	40%	-9.2%	4.78				Sustained odds drop: 4.78 → 4.34 (-9.2%) | Strong drop >8% | 1255 snapshots — robust data
15:30	156	STEAM	Sloga Doboj vs Tekstilac	1 (Sloga Doboj)	1.08	85%	-39.0%	1.77				Steam move: odds dropped -39.0% | Sustained odds drop: 1.77 → 1.08 (-39.0%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1258 snapshots — robust data
15:30	156	STEAM	Sloga Doboj vs Tekstilac	1 (Sloga Doboj)	1.08	85%	-39.0%	1.77				Steam move: odds dropped -39.0% | Sustained odds drop: 1.77 → 1.08 (-39.0%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1258 snapshots — robust data
15:30	156	STEAM	Tadamone Hadramout (Yem) vs Al Rayyan (Qat)	X (Draw)	9.16	55%	-6.9%	9.84				Steam move: odds dropped -6.9% | Sustained odds drop: 9.84 → 9.16 (-6.9%) | 255 snapshots — robust data
15:30	156	SUSTAINED_DROP	Tadamone Hadramout (Yem) vs Al Rayyan (Qat)	1 (Tadamone Hadramout (Yem))	24.96	40%	-22.5%	32.20				Sustained odds drop: 32.20 → 24.96 (-22.5%) | Strong drop >8% | 255 snapshots — robust data
16:00	186	STEAM	Sitra (Bhr) vs Al Ain (Uae)	2 (Al Ain (Uae))	2.02	85%	-21.4%	2.57				Steam move: odds dropped -21.4% | Sustained odds drop: 2.57 → 2.02 (-21.4%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1260 snapshots — robust data
16:00	186	STEAM	Sitra (Bhr) vs Al Ain (Uae)	2 (Al Ain (Uae))	2.02	85%	-21.4%	2.57				Steam move: odds dropped -21.4% | Sustained odds drop: 2.57 → 2.02 (-21.4%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1260 snapshots — robust data
16:00	186	STEAM	Neftci Baku vs Gabala	2 (Gabala)	4.28	70%	-18.2%	5.23				Steam move: odds dropped -18.2% | Sustained odds drop: 5.23 → 4.28 (-18.2%) | Strong drop >8% | 1317 snapshots — robust data
16:00	186	STEAM	Enppi vs Pyramids	X (Draw)	3.19	70%	-14.7%	3.74				Steam move: odds dropped -14.7% | Sustained odds drop: 3.74 → 3.19 (-14.7%) | Strong drop >8% | 321 snapshots — robust data
16:00	186	STEAM	Levadiakos vs OFI Crete	X (Draw)	3.17	70%	-9.2%	3.49				Steam move: odds dropped -9.2% | Sustained odds drop: 3.49 → 3.17 (-9.2%) | Strong drop >8% | 321 snapshots — robust data
16:00	186	STEAM	Neftci Baku vs Gabala	2 (Gabala)	4.28	70%	-18.2%	5.23				Steam move: odds dropped -18.2% | Sustained odds drop: 5.23 → 4.28 (-18.2%) | Strong drop >8% | 1317 snapshots — robust data
16:00	186	STEAM	Petro Atletico vs Academica	1 (Petro Atletico)	1.27	55%	-5.2%	1.34				Steam move: odds dropped -5.2% | Sustained odds drop: 1.34 → 1.27 (-5.2%) | 1261 snapshots — robust data
16:00	186	STEAM	Rio Ave U23 vs Estrela U23	X (Draw)	3.15	55%	-7.3%	3.40				Steam move: odds dropped -7.3% | Sustained odds drop: 3.40 → 3.15 (-7.3%) | 39 snapshots — robust data
16:00	186	STEAM	Petro Atletico vs Academica	1 (Petro Atletico)	1.27	55%	-5.2%	1.34				Steam move: odds dropped -5.2% | Sustained odds drop: 1.34 → 1.27 (-5.2%) | 1261 snapshots — robust data
16:00	186	SUSTAINED_DROP	Enppi vs Pyramids	1 (Enppi)	4.79	40%	-40.4%	8.03				Sustained odds drop: 8.03 → 4.79 (-40.4%) | Strong drop >8% | 321 snapshots — robust data
16:00	186	SUSTAINED_DROP	Neftci Baku vs Gabala	X (Draw)	3.29	25%	-5.2%	3.47				Sustained odds drop: 3.47 → 3.29 (-5.2%) | 1317 snapshots — robust data
