captured_at	match_date	days_until	kick_off	match	bet	odds	opening	drop_pct	snapshots	confidence	score	market_consensus	type	stage	reason
12:53:35	2026-02-11	1	20:45	Canvey vs Chatham	2 (Chatham)	1.45	1.61	-9.9%	1315	85%	71.4	DA	STEAM	early	Steam move: -9.9% | Drop: 1.61 → 1.45 (-9.9%) | Strong drop >8% | Market consensus — others rising | 1315 snapshots | EARLY
12:45:41	2026-02-14	4	16:00	Sheffield Wed vs Millwall	2 (Millwall)	1.38	1.53	-9.8%	122	85%	71.2	DA	STEAM	early	Steam move: -9.8% | Drop: 1.53 → 1.38 (-9.8%) | Strong drop >8% | Market consensus — others rising | 122 snapshots | EARLY
12:45:41	2026-02-15	5	14:30	Sekhukhune vs Orbit College	1 (Sekhukhune)	1.57	1.74	-9.8%	120	85%	71.1	DA	STEAM	early	Steam move: -9.8% | Drop: 1.74 → 1.57 (-9.8%) | Strong drop >8% | Market consensus — others rising | 120 snapshots | EARLY
03:10:41	2026-02-11	1	03:05	FC Racing vs Gorilas de Juanacatlan	1 (FC Racing)	1.51	1.67	-9.6%	430	85%	70.8	DA	STEAM	early	Steam move: -9.6% | Drop: 1.67 → 1.51 (-9.6%) | Strong drop >8% | Market consensus — others rising | 430 snapshots | EARLY
12:45:41	2026-02-13	3	18:00	Leczna vs Stal Mielec	1 (Leczna)	1.99	2.20	-9.6%	123	85%	70.8	DA	STEAM	early	Steam move: -9.6% | Drop: 2.20 → 1.99 (-9.6%) | Strong drop >8% | Market consensus — others rising | 123 snapshots | EARLY
01:59:06	2026-02-11	1	02:00	Santa Ana vs Consultants Desamparados	1 (Santa Ana)	2.20	2.43	-9.5%	325	85%	70.7	DA	STEAM	early	Steam move: -9.5% | Drop: 2.43 → 2.20 (-9.5%) | Strong drop >8% | Market consensus — others rising | 325 snapshots | EARLY
09:51:42	2026-02-11	1	10:00	Rakhine United vs Mahar United	2 (Mahar United)	1.72	1.90	-9.5%	511	85%	70.7	DA	STEAM	early	Steam move: -9.5% | Drop: 1.90 → 1.72 (-9.5%) | Strong drop >8% | Market consensus — others rising | 511 snapshots | EARLY
12:45:41	2026-02-16	6	09:30	Persita vs PSBS Biak Numfor	1 (Persita)	1.43	1.58	-9.5%	116	85%	70.7	DA	STEAM	early	Steam move: -9.5% | Drop: 1.58 → 1.43 (-9.5%) | Strong drop >8% | Market consensus — others rising | 116 snapshots | EARLY
12:53:35	2026-02-11	1	14:00	Al-Hilal Omdurman vs APR	1 (Al-Hilal Omdurman)	1.77	1.95	-9.2%	1242	85%	70.3	DA	STEAM	early	Steam move: -9.2% | Drop: 1.95 → 1.77 (-9.2%) | Strong drop >8% | Market consensus — others rising | 1242 snapshots | EARLY
12:45:41	2026-02-14	4	17:00	Tirol vs Sturm Graz	1 (Tirol)	3.17	3.88	-18.3%	122	70%	70.3	NE	STEAM	early	Steam move: -18.3% | Drop: 3.88 → 3.17 (-18.3%) | Strong drop >8% | 122 snapshots | EARLY
10:33:48	2026-02-11	1	10:30	Ayeyawady vs Shan Utd	2 (Shan Utd)	1.18	1.30	-9.2%	1053	85%	70.3	DA	STEAM	early	Steam move: -9.2% | Drop: 1.30 → 1.18 (-9.2%) | Strong drop >8% | Market consensus — others rising | 1053 snapshots | EARLY
12:53:35	2026-02-11	1	18:30	Holbaek (Den) vs Tarnby FF (Den)	1 (Holbaek (Den))	1.40	1.54	-9.1%	1237	85%	70.0	DA	STEAM	early	Steam move: -9.1% | Drop: 1.54 → 1.40 (-9.1%) | Strong drop >8% | Market consensus — others rising | 1237 snapshots | EARLY
12:53:35	2026-02-11	1	20:45	Annan vs Dumbarton	2 (Dumbarton)	3.40	3.73	-8.8%	1138	85%	69.7	DA	STEAM	early	Steam move: -8.8% | Drop: 3.73 → 3.40 (-8.8%) | Strong drop >8% | Market consensus — others rising | 1138 snapshots | EARLY
02:42:24	2026-02-11	1	03:00	Monterrey W vs Toluca W	1 (Monterrey W)	1.87	2.05	-8.8%	399	85%	69.5	DA	STEAM	early	Steam move: -8.8% | Drop: 2.05 → 1.87 (-8.8%) | Strong drop >8% | Market consensus — others rising | 399 snapshots | EARLY
