alerted_at;match_key;home;away;kick_off;signal_type;bet;odds;opening_odds;pct_change;confidence;edge;snapshots;stake_model;stake;result;profit;resolved_at;reason
2026-02-08T12:38:49.385958;Carmelita|CS Uruguay;Carmelita;CS Uruguay;23:00;STEAM;1;2.06;2.32;-0.1121;0.85;0.1121;90;flat;1.0;;;;Steam move: odds dropped -11.2% | Sustained odds drop: 2.32 → 2.06 (-11.2%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 90 snapshots — robust data
2026-02-08T12:38:49.389717;Altinordu|Ankaragucu;Altinordu;Ankaragucu;13:00;STEAM;2;1.69;1.8;-0.0611;0.8;0.0611;216;flat;1.0;;;;Steam move: odds dropped -6.1% | Sustained odds drop: 1.80 → 1.69 (-6.1%) | Other outcomes rising while this drops — market consensus | Only 22 min to kick-off — late data is more reliable | 216 snapshots — robust data
2026-02-08T12:38:49.392706;Las Palmas B|CD Coria;Las Palmas B;CD Coria;13:00;STEAM;1;2.19;2.35;-0.0681;0.8;0.0681;216;flat;1.0;;;;Steam move: odds dropped -6.8% | Sustained odds drop: 2.35 → 2.19 (-6.8%) | Other outcomes rising while this drops — market consensus | Only 22 min to kick-off — late data is more reliable | 216 snapshots — robust data
2026-02-08T12:38:49.397340;Persija Jakarta|Arema FC;Persija Jakarta;Arema FC;13:00;STEAM;1;1.35;1.44;-0.0625;0.8;0.0625;217;flat;1.0;;;;Steam move: odds dropped -6.2% | Sustained odds drop: 1.44 → 1.35 (-6.2%) | Other outcomes rising while this drops — market consensus | Only 22 min to kick-off — late data is more reliable | 217 snapshots — robust data
2026-02-08T12:38:49.406571;Persijap Jepara|Madura United;Persijap Jepara;Madura United;13:00;STEAM;1;2.15;2.29;-0.0611;0.8;0.0611;176;flat;1.0;win;1.15;2026-02-08T12:38:50.286440;Steam move: odds dropped -6.1% | Sustained odds drop: 2.29 → 2.15 (-6.1%) | Other outcomes rising while this drops — market consensus | Only 22 min to kick-off — late data is more reliable | 176 snapshots — robust data
2026-02-08T12:38:49.409468;Reading U21|Stoke City U21;Reading U21;Stoke City U21;13:00;STEAM;1;1.52;1.61;-0.0559;0.8;0.0559;175;flat;1.0;win;0.52;2026-02-08T12:38:50.288224;Steam move: odds dropped -5.6% | Sustained odds drop: 1.61 → 1.52 (-5.6%) | Other outcomes rising while this drops — market consensus | Only 22 min to kick-off — late data is more reliable | 175 snapshots — robust data
2026-02-08T12:38:49.412230;Telde|Tenerife C;Telde;Tenerife C;13:00;STEAM;2;1.69;1.84;-0.0815;0.8;0.0815;68;flat;1.0;;;;Steam move: odds dropped -8.2% | Sustained odds drop: 1.84 → 1.69 (-8.2%) | Strong drop >8% | Only 22 min to kick-off — late data is more reliable | 68 snapshots — robust data
2026-02-08T12:38:49.418667;Usak Belediyespor|Eskisehirspor;Usak Belediyespor;Eskisehirspor;13:00;STEAM;2;1.63;1.75;-0.0686;0.8;0.0686;216;flat;1.0;;;;Steam move: odds dropped -6.9% | Sustained odds drop: 1.75 → 1.63 (-6.9%) | Other outcomes rising while this drops — market consensus | Only 22 min to kick-off — late data is more reliable | 216 snapshots — robust data
2026-02-08T12:38:49.420995;Ho Chi Minh|Thanh Hoa;Ho Chi Minh;Thanh Hoa;13:15;STEAM;1;1.52;1.63;-0.0675;0.7;0.0675;215;flat;1.0;;;;Steam move: odds dropped -6.8% | Sustained odds drop: 1.63 → 1.52 (-6.8%) | Other outcomes rising while this drops — market consensus | 215 snapshots — robust data
2026-02-08T12:38:49.423569;Arminia Bielefeld|Braunschweig;Arminia Bielefeld;Braunschweig;13:30;STEAM;1;1.9;2.02;-0.0594;0.7;0.0594;213;flat;1.0;;;;Steam move: odds dropped -5.9% | Sustained odds drop: 2.02 → 1.90 (-5.9%) | Other outcomes rising while this drops — market consensus | 213 snapshots — robust data
