match_id;home;away;country;league;kick_off;match_date;market;predicted_outcome;score;signal_type;close_odds;pct_change;breakdown;n_snapshots;open_overround;close_overround;kelly_pct;suggested_eur;est_winprob
St. Pauli|Eintracht Frankfurt;St. Pauli;Eintracht Frankfurt;Germany;Bundesliga;15:30;2026-03-08;1;HOME;90;NEGLECT_UP;2.86;1.4184397163120581;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);124;101.6;101.3;3.8;20;0.449
RAC Casablanca|Chabab Atlas Khenifra;RAC Casablanca;Chabab Atlas Khenifra;Morocco;Botola 2;16:00;2026-03-07;1;HOME;90;CORRECTION_UP;2.35;0.858369098712447;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);54;108.8;108.4;1.0;20;0.449
Wusum Stars|Wilberforce Strikers;Wusum Stars;Wilberforce Strikers;Sierra Leone;Premier League;17:15;2026-03-08;2;AWAY;90;CORRECTION_UP;3.05;0.993377483443702;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);19;109.3;108.9;4.5;20;0.449
Lok. Sofia|Slavia Sofia;Lok. Sofia;Slavia Sofia;Bulgaria;efbet League;18:00;2026-03-13;1;HOME;90;NEGLECT_UP;2.0;1.010101010101011;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);31;109.1;108.3;0;20;0.449
AZ Alkmaar|Sparta Prague;AZ Alkmaar;Sparta Prague;Europe;Conference League;18:45;2026-03-12;X;DRAW;90;NEGLECT_UP;3.55;1.4285714285714235;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);66;102.1;102.4;5.8;20;0.449
Alemannia Aachen|Cottbus;Alemannia Aachen;Cottbus;Germany;3. Liga;19:00;2026-03-13;2;AWAY;90;CORRECTION_UP;2.37;0.8510638297872347;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);14;106.6;105.9;1.2;20;0.449
Wexford|Kerry;Wexford;Kerry;Ireland;Division 1;20:45;2026-03-13;X;DRAW;90;NEGLECT_UP;3.21;2.8846153846153797;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);41;107.6;106.6;5.0;20;0.449
Banfield|Gimnasia L.P.;Banfield;Gimnasia L.P.;Argentina;Liga Profesional;21:30;2026-03-11;2;AWAY;90;DRIFT_UP;3.73;0.8108108108108055;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);66;102.4;102.5;6.2;20;0.449
Leones|Envigado;Leones;Envigado;Colombia;Primera B;21:30;2026-03-11;X;DRAW;90;DRIFT_UP;3.27;2.187499999999995;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);39;107.3;107.4;5.2;20;0.449
G3X|Capim;G3X;Capim;Brazil;Kings League - Brazil;23:00;2026-03-09;2;AWAY;90;NEGLECT_UP;3.15;2.2727272727272676;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);54;109.3;108.6;4.8;20;0.449
Talleres Cordoba|Instituto;Talleres Cordoba;Instituto;Argentina;Liga Profesional;23:15;2026-03-12;1;HOME;90;NEGLECT_UP;2.23;1.8264840182648419;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);66;104.7;104.8;0.0;20;0.449
Tigre|Velez Sarsfield;Tigre;Velez Sarsfield;Argentina;Liga Profesional;23:45;2026-03-10;2;AWAY;90;NEGLECT_UP;3.41;1.4880952380952461;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);65;101.7;102.6;5.5;20;0.449
